2026-07-23 12:14:57,452 - BAJAJ-AUTO | Year=2021 | Computed=23.76 | Source=33.5 | Difference=9.74
2026-07-23 12:14:57,452 - BAJAJ-AUTO | Year=2022 | Computed=26.45 | Source=33.5 | Difference=7.05
2026-07-23 12:14:57,453 - BAJAJ-AUTO | Year=2023 | Computed=27.70 | Source=33.5 | Difference=5.80
2026-07-23 12:14:57,453 - BAJAJFINSV | Year=2014 | Computed=15.59 | Source=21.14 | Difference=5.55
2026-07-23 12:14:57,453 - BAJAJFINSV | Year=2015 | Computed=14.76 | Source=21.14 | Difference=6.38
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2016 | Computed=13.57 | Source=21.14 | Difference=7.57
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2017 | Computed=13.52 | Source=21.14 | Difference=7.62
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2018 | Computed=12.52 | Source=21.14 | Difference=8.62
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2019 | Computed=12.18 | Source=21.14 | Difference=8.96
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2020 | Computed=11.52 | Source=21.14 | Difference=9.62
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2021 | Computed=11.95 | Source=21.14 | Difference=9.19
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2022 | Computed=10.66 | Source=21.14 | Difference=10.48
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2023 | Computed=11.55 | Source=21.14 | Difference=9.59
2026-07-23 12:14:57,454 - BAJAJFINSV | Year=2024 | Computed=11.71 | Source=21.14 | Difference=9.43
2026-07-23 12:14:57,454 - BAJAJHLDNG | Year=2013 | Computed=3.14 | Source=13.1 | Difference=9.96
2026-07-23 12:14:57,454 - BAJAJHLDNG | Year=2014 | Computed=3.38 | Source=13.1 | Difference=9.72
2026-07-23 12:14:57,454 - BAJAJHLDNG | Year=2015 | Computed=3.88 | Source=13.1 | Difference=9.22
2026-07-23 12:14:57,458 - BAJAJHLDNG | Year=2016 | Computed=2.85 | Source=13.1 | Difference=10.25
2026-07-23 12:14:57,458 - BAJAJHLDNG | Year=2017 | Computed=3.57 | Source=13.1 | Difference=9.53
2026-07-23 12:14:57,458 - BAJFINANCE | Year=2015 | Computed=5.65 | Source=11.9 | Difference=6.25
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2016 | Computed=5.36 | Source=11.9 | Difference=6.54
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2017 | Computed=5.57 | Source=11.9 | Difference=6.33
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2018 | Computed=5.03 | Source=11.9 | Difference=6.87
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2019 | Computed=4.52 | Source=11.9 | Difference=7.38
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2020 | Computed=5.67 | Source=11.9 | Difference=6.23
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2021 | Computed=6.44 | Source=11.9 | Difference=5.46
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2022 | Computed=5.70 | Source=11.9 | Difference=6.20
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2023 | Computed=4.70 | Source=11.9 | Difference=7.20
2026-07-23 12:14:57,460 - BAJFINANCE | Year=2024 | Computed=4.36 | Source=11.9 | Difference=7.54
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2013 | Computed=20.60 | Source=13.1 | Difference=7.50
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2014 | Computed=21.67 | Source=13.1 | Difference=8.57
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2015 | Computed=28.29 | Source=13.1 | Difference=15.19
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2016 | Computed=23.20 | Source=13.1 | Difference=10.10
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2017 | Computed=21.20 | Source=13.1 | Difference=8.10
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2020 | Computed=-0.52 | Source=13.1 | Difference=13.62
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2021 | Computed=18.52 | Source=13.1 | Difference=5.42
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2022 | Computed=26.33 | Source=13.1 | Difference=13.23
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2023 | Computed=23.81 | Source=13.1 | Difference=10.71
2026-07-23 12:14:57,460 - BHARTIARTL | Year=2024 | Computed=25.10 | Source=13.1 | Difference=12.00
2026-07-23 12:14:57,466 - BEL | Year=2013 | Computed=4303.33 | Source=34.6 | Difference=4268.73
2026-07-23 12:14:57,466 - BEL | Year=2014 | Computed=4867.86 | Source=34.6 | Difference=4833.26
2026-07-23 12:14:57,467 - BEL | Year=2015 | Computed=5109.09 | Source=34.6 | Difference=5074.49
2026-07-23 12:14:57,467 - BEL | Year=2016 | Computed=5313.51 | Source=34.6 | Difference=5278.91
